Date;Price
02.01.2019;337,21
03.01.2019;333,92
04.01.2019;343,38
07.01.2019;342,88
08.01.2019;345,85
09.01.2019;347,70
10.01.2019;348,88
11.01.2019;349,20
14.01.2019;347,51
15.01.2019;348,71
16.01.2019;350,59
17.01.2019;350,73
18.01.2019;357,05
21.01.2019;356,36
22.01.2019;355,09
23.01.2019;354,89
24.01.2019;355,67
25.01.2019;357,84
28.01.2019;354,38
29.01.2019;357,23
30.01.2019;358,51
31.01.2019;358,67
01.02.2019;359,71
04.02.2019;359,92
05.02.2019;364,99
06.02.2019;365,52
07.02.2019;360,08
08.02.2019;358,07
11.02.2019;361,12
12.02.2019;362,78
13.02.2019;364,97
14.02.2019;363,80
15.02.2019;368,94
18.02.2019;369,78
19.02.2019;368,97
20.02.2019;371,46
21.02.2019;370,41
22.02.2019;371,23
25.02.2019;372,18
26.02.2019;373,64
27.02.2019;372,58
28.02.2019;372,80
01.03.2019;374,24
04.03.2019;375,09
05.03.2019;375,64
06.03.2019;375,48
07.03.2019;373,88
08.03.2019;370,57
11.03.2019;373,47
12.03.2019;373,25
13.03.2019;375,60
14.03.2019;378,52
15.03.2019;381,10
18.03.2019;382,11
19.03.2019;384,29
20.03.2019;380,84
21.03.2019;380,69
22.03.2019;376,03
25.03.2019;374,33
26.03.2019;377,20
27.03.2019;377,28
28.03.2019;376,84
29.03.2019;379,09
01.04.2019;383,67
02.04.2019;385,03
03.04.2019;388,92
04.04.2019;387,87
05.04.2019;388,23
08.04.2019;387,51
09.04.2019;385,68
10.04.2019;386,68
11.04.2019;386,91
12.04.2019;387,53
15.04.2019;388,10
16.04.2019;389,21
17.04.2019;389,59
18.04.2019;390,46
19.04.2019;390,46
23.04.2019;391,35
24.04.2019;390,98
25.04.2019;390,15
26.04.2019;391,01
29.04.2019;391,32
30.04.2019;391,35
01.05.2019;391,09
02.05.2019;388,84
03.05.2019;390,37
06.05.2019;386,95
07.05.2019;381,64
08.05.2019;382,23
09.05.2019;375,92
10.05.2019;377,14
13.05.2019;372,57
14.05.2019;376,34
15.05.2019;378,06
16.05.2019;382,88
17.05.2019;381,51
20.05.2019;377,46
21.05.2019;379,50
22.05.2019;379,19
23.05.2019;373,79
24.05.2019;375,89
27.05.2019;376,71
28.05.2019;375,90
29.05.2019;370,51
30.05.2019;372,07
31.05.2019;369,06
03.06.2019;370,49
04.06.2019;372,67
05.06.2019;374,08
06.06.2019;374,01
07.06.2019;377,48
10.06.2019;378,27
11.06.2019;380,89
12.06.2019;379,74
13.06.2019;380,33
14.06.2019;378,81
17.06.2019;378,46
18.06.2019;384,78
19.06.2019;384,77
20.06.2019;386,16
21.06.2019;384,76
24.06.2019;383,79
25.06.2019;383,40
26.06.2019;382,20
27.06.2019;382,21
28.06.2019;384,87
01.07.2019;387,87
02.07.2019;389,29
03.07.2019;392,58
04.07.2019;392,94
05.07.2019;390,11
08.07.2019;389,90
09.07.2019;387,92
10.07.2019;387,15
11.07.2019;386,70
12.07.2019;386,85
15.07.2019;387,75
16.07.2019;389,10
17.07.2019;387,66
18.07.2019;386,80
19.07.2019;387,25
22.07.2019;387,74
23.07.2019;391,54
24.07.2019;391,73
25.07.2019;389,52
26.07.2019;390,73
29.07.2019;390,85
30.07.2019;385,11
31.07.2019;385,77
01.08.2019;387,68
02.08.2019;378,15
05.08.2019;369,43
06.08.2019;367,71
07.08.2019;368,60
08.08.2019;374,71
09.08.2019;371,56
12.08.2019;370,41
13.08.2019;372,40
14.08.2019;366,16
15.08.2019;365,09
16.08.2019;369,63
19.08.2019;373,86
20.08.2019;371,30
21.08.2019;375,80
22.08.2019;374,29
23.08.2019;371,36
26.08.2019;371,28
27.08.2019;373,62
28.08.2019;372,86
29.08.2019;376,74
30.08.2019;379,48
02.09.2019;380,69
03.09.2019;379,81
04.09.2019;383,18
05.09.2019;385,92
06.09.2019;387,14
09.09.2019;386,06
10.09.2019;386,44
11.09.2019;389,71
12.09.2019;390,48
13.09.2019;391,79
16.09.2019;389,53
17.09.2019;389,33
18.09.2019;389,41
19.09.2019;391,80
20.09.2019;392,95
23.09.2019;389,80
24.09.2019;389,84
25.09.2019;387,59
26.09.2019;389,95
27.09.2019;391,79
30.09.2019;393,15
01.10.2019;387,99
02.10.2019;377,52
03.10.2019;377,46
04.10.2019;380,22
07.10.2019;382,91
08.10.2019;378,71
09.10.2019;380,30
10.10.2019;382,76
11.10.2019;391,61
14.10.2019;389,69
15.10.2019;394,02
16.10.2019;393,46
17.10.2019;393,08
18.10.2019;391,84
21.10.2019;394,22
22.10.2019;394,59
23.10.2019;395,03
24.10.2019;397,37
25.10.2019;398,01
28.10.2019;398,99
29.10.2019;398,37
30.10.2019;398,70
31.10.2019;396,75
01.11.2019;399,43
04.11.2019;403,41
05.11.2019;404,23
06.11.2019;405,07
07.11.2019;406,56
08.11.2019;405,42
11.11.2019;405,34
12.11.2019;406,90
13.11.2019;405,86
14.11.2019;404,41
15.11.2019;406,04
18.11.2019;405,99
19.11.2019;405,50
20.11.2019;403,82
21.11.2019;402,22
22.11.2019;403,98
25.11.2019;408,09
26.11.2019;408,49
27.11.2019;409,81
28.11.2019;409,25
29.11.2019;407,43
02.12.2019;401,01
03.12.2019;398,48
04.12.2019;403,19
05.12.2019;402,66
06.12.2019;407,35
09.12.2019;406,39
10.12.2019;405,34
11.12.2019;406,22
12.12.2019;407,58
13.12.2019;412,02
16.12.2019;417,75
17.12.2019;414,92
18.12.2019;414,38
19.12.2019;415,07
20.12.2019;418,40
23.12.2019;418,27
24.12.2019;418,86
27.12.2019;419,74
30.12.2019;416,17
31.12.2019;415,84
02.01.2020;419,72
03.01.2020;418,33
06.01.2020;416,63
07.01.2020;417,67
08.01.2020;418,36
09.01.2020;419,64
10.01.2020;419,14
13.01.2020;418,39
14.01.2020;419,59
15.01.2020;419,63
16.01.2020;420,54
17.01.2020;424,56
20.01.2020;423,98
21.01.2020;423,38
22.01.2020;423,04
23.01.2020;420,03
24.01.2020;423,64
27.01.2020;414,07
28.01.2020;417,56
29.01.2020;419,41
30.01.2020;415,16
31.01.2020;410,71
03.02.2020;411,72
04.02.2020;418,47
05.02.2020;423,62
06.02.2020;425,49
07.02.2020;424,36
10.02.2020;424,64
11.02.2020;428,48
12.02.2020;431,16
13.02.2020;431,08
14.02.2020;430,52
17.02.2020;431,98
18.02.2020;430,33
19.02.2020;433,90
20.02.2020;430,19
21.02.2020;428,07
24.02.2020;411,86
25.02.2020;404,60
26.02.2020;404,62
27.02.2020;389,45
28.02.2020;375,65
02.03.2020;375,97
03.03.2020;381,13
04.03.2020;386,30
05.03.2020;380,76
06.03.2020;366,80
09.03.2020;339,50
10.03.2020;335,64
11.03.2020;333,17
12.03.2020;294,93
13.03.2020;299,16
16.03.2020;284,63
17.03.2020;291,07
18.03.2020;279,66
19.03.2020;287,80
20.03.2020;293,04
23.03.2020;280,43
24.03.2020;304,00
25.03.2020;313,38
26.03.2020;321,38
27.03.2020;310,90
30.03.2020;314,88
31.03.2020;320,06
01.04.2020;310,77
02.04.2020;312,08
03.04.2020;309,06
06.04.2020;320,58
07.04.2020;326,61
08.04.2020;326,67
09.04.2020;331,80
14.04.2020;333,89
15.04.2020;323,06
16.04.2020;324,92
17.04.2020;333,47
