Date;Price
21.01.2019;319,14
22.01.2019;315,81
23.01.2019;316,04
24.01.2019;316,78
25.01.2019;319,82
28.01.2019;317,84
29.01.2019;318
30.01.2019;321,15
31.01.2019;324,14
01.02.2019;324,25
04.02.2019;325,31
05.02.2019;327,33
06.02.2019;326,62
07.02.2019;323,5
08.02.2019;322,32
11.02.2019;322,43
12.02.2019;326,03
13.02.2019;327,11
14.02.2019;326,28
15.02.2019;328,58
18.02.2019;329,71
19.02.2019;330,2
20.02.2019;331,77
21.02.2019;330,97
22.02.2019;332,51
25.02.2019;333,53
26.02.2019;333,43
27.02.2019;333,35
28.02.2019;332,07
01.03.2019;333,58
04.03.2019;332,87
05.03.2019;332,49
06.03.2019;331,32
07.03.2019;328,47
08.03.2019;326,49
11.03.2019;330,16
12.03.2019;331,78
13.03.2019;333,43
14.03.2019;333,45
15.03.2019;335,57
18.03.2019;337,29
19.03.2019;337,73
20.03.2019;336,47
21.03.2019;338,69
22.03.2019;333,8
25.03.2019;332,18
26.03.2019;334,52
27.03.2019;333,07
28.03.2019;333,22
29.03.2019;335,45
31.03.2019;335,45
01.04.2019;339,3
02.04.2019;339,33
03.04.2019;341,26
04.04.2019;341,21
05.04.2019;342,36
08.04.2019;342,9
09.04.2019;341,75
10.04.2019;342,48
11.04.2019;342,13
12.04.2019;343,82
15.04.2019;344,04
16.04.2019;344,56
17.04.2019;344,38
18.04.2019;344,07
19.04.2019;344,1
22.04.2019;344,12
23.04.2019;345,91
24.04.2019;344,95
25.04.2019;344,22
26.04.2019;345,42
29.04.2019;345,86
30.04.2019;346,18
01.05.2019;345,07
02.05.2019;343,74
03.05.2019;346,18
06.05.2019;343,88
07.05.2019;339,38
08.05.2019;338,61
09.05.2019;335,98
10.05.2019;337,15
12.05.2019;337,15
13.05.2019;330,99
14.05.2019;332,56
15.05.2019;334,23
16.05.2019;336,24
17.05.2019;334,39
20.05.2019;332,65
21.05.2019;334,6
22.05.2019;333,76
23.05.2019;329,94
24.05.2019;331,08
27.05.2019;331,37
28.05.2019;329,73
29.05.2019;326,86
30.05.2019;327,44
31.05.2019;324,73
03.06.2019;324,97
04.06.2019;329,35
05.06.2019;331,88
06.06.2019;332,94
07.06.2019;336,27
10.06.2019;337,99
11.06.2019;338,97
12.06.2019;337,97
13.06.2019;338,12
14.06.2019;337,05
17.06.2019;336,81
18.06.2019;340,04
