Date;Price
02.01.2019;7296,21
03.01.2019;7192,04
04.01.2019;7414,56
07.01.2019;7440,78
08.01.2019;7566,74
09.01.2019;7698,77
10.01.2019;7688,31
11.01.2019;7666,19
14.01.2019;7663,84
15.01.2019;7703,08
16.01.2019;7737,36
17.01.2019;7724,68
18.01.2019;7876,55
21.01.2019;7907,33
22.01.2019;7900,96
23.01.2019;7921,04
24.01.2019;7981,35
25.01.2019;8066,22
28.01.2019;8001,40
29.01.2019;8018,97
30.01.2019;8082,42
31.01.2019;8058,83
01.02.2019;8093,48
04.02.2019;8092,22
05.02.2019;8183,48
06.02.2019;8183,22
07.02.2019;7989,65
08.02.2019;7889,42
11.02.2019;7975,68
12.02.2019;8056,22
13.02.2019;8102,47
14.02.2019;8151,27
15.02.2019;8289,51
18.02.2019;8336,72
19.02.2019;8309,93
20.02.2019;8339,44
21.02.2019;8323,46
22.02.2019;8362,08
25.02.2019;8363,38
26.02.2019;8365,53
27.02.2019;8339,38
28.02.2019;8373,34
01.03.2019;8452,71
04.03.2019;8465,54
05.03.2019;8443,18
06.03.2019;8439,98
07.03.2019;8354,99
08.03.2019;8294,09
11.03.2019;8372,86
12.03.2019;8418,40
13.03.2019;8490,41
14.03.2019;8539,97
15.03.2019;8580,72
18.03.2019;8608,90
19.03.2019;8668,97
20.03.2019;8547,89
21.03.2019;8557,48
22.03.2019;8403,16
25.03.2019;8369,66
26.03.2019;8426,97
27.03.2019;8412,74
28.03.2019;8386,01
29.03.2019;8453,90
01.04.2019;8538,82
02.04.2019;8563,08
03.04.2019;8683,86
04.04.2019;8668,32
05.04.2019;8685,36
08.04.2019;8684,04
09.04.2019;8579,19
10.04.2019;8575,70
11.04.2019;8620,75
12.04.2019;8694,98
15.04.2019;8727,13
16.04.2019;8795,95
17.04.2019;8845,28
18.04.2019;8887,53
23.04.2019;8943,90
24.04.2019;8929,22
25.04.2019;8863,65
26.04.2019;8880,62
29.04.2019;8930,63
30.04.2019;8919,54
02.05.2019;8863,98
03.05.2019;8883,57
06.05.2019;8790,44
07.05.2019;8698,48
08.05.2019;8746,82
09.05.2019;8621,25
10.05.2019;8684,41
13.05.2019;8550,55
14.05.2019;8659,30
15.05.2019;8726,34
16.05.2019;8845,56
17.05.2019;8778,15
20.05.2019;8650,98
21.05.2019;8669,53
22.05.2019;8659,30
23.05.2019;8500,55
24.05.2019;8536,11
27.05.2019;8561,92
28.05.2019;8535,28
29.05.2019;8420,79
30.05.2019;8467,02
31.05.2019;8419,64
03.06.2019;8466,43
04.06.2019;8550,64
05.06.2019;8584,45
06.06.2019;8505,02
07.06.2019;8560,29
11.06.2019;8689,30
12.06.2019;8675,54
13.06.2019;8676,08
14.06.2019;8630,48
17.06.2019;8671,13
18.06.2019;8755,33
19.06.2019;8703,65
20.06.2019;8736,18
21.06.2019;8704,12
24.06.2019;8683,85
25.06.2019;8703,36
26.06.2019;8682,32
27.06.2019;8679,63
28.06.2019;8762,47
01.07.2019;8797,73
02.07.2019;8780,51
03.07.2019;8880,34
04.07.2019;8903,72
05.07.2019;8864,15
08.07.2019;8842,86
09.07.2019;8798,05
10.07.2019;8802,91
11.07.2019;8779,28
12.07.2019;8825,28
15.07.2019;8871,27
16.07.2019;8913,78
17.07.2019;8867,99
18.07.2019;8806,31
19.07.2019;8833,69
22.07.2019;8825,01
