Date;Germany_News_Index;Italy_News_Index;UK_News_Index
01/01/1987;;;
01/02/1987;;;
01/03/1987;;;
01/04/1987;;;
01/05/1987;;;
01/06/1987;;;
01/07/1987;;;
01/08/1987;;;
01/09/1987;;;
01/10/1987;;;
01/11/1987;;;
01/12/1987;;;
01/01/1988;;;
01/02/1988;;;
01/03/1988;;;
01/04/1988;;;
01/05/1988;;;
01/06/1988;;;
01/07/1988;;;
01/08/1988;;;
01/09/1988;;;
01/10/1988;;;
01/11/1988;;;
01/12/1988;;;
01/01/1989;;;
01/02/1989;;;
01/03/1989;;;
01/04/1989;;;
01/05/1989;;;
01/06/1989;;;
01/07/1989;;;
01/08/1989;;;
01/09/1989;;;
01/10/1989;;;
01/11/1989;;;
01/12/1989;;;
01/01/1990;;;
01/02/1990;;;
01/03/1990;;;
01/04/1990;;;
01/05/1990;;;
01/06/1990;;;
01/07/1990;;;
01/08/1990;;;
01/09/1990;;;
01/10/1990;;;
01/11/1990;;;
01/12/1990;;;
01/01/1991;;;
01/02/1991;;;
01/03/1991;;;
01/04/1991;;;
01/05/1991;;;
01/06/1991;;;
01/07/1991;;;
01/08/1991;;;
01/09/1991;;;
01/10/1991;;;
01/11/1991;;;
01/12/1991;;;
01/01/1992;;;
01/02/1992;;;
01/03/1992;;;
01/04/1992;;;
01/05/1992;;;
01/06/1992;;;
01/07/1992;;;
01/08/1992;;;
01/09/1992;;;
01/10/1992;;;
01/11/1992;;;
01/12/1992;;;
01/01/1993;178.7527466;;
01/02/1993;114.213028;;
01/03/1993;139.1031036;;
01/04/1993;56.50121307;;
01/05/1993;120.8239975;;
01/06/1993;88.1937561;;
01/07/1993;97.81391907;;
01/08/1993;123.0051193;;
01/09/1993;170.8386536;;
01/10/1993;103.007637;;
01/11/1993;93.76766205;;
01/12/1993;39.29359436;;
01/01/1994;94.05158234;;
01/02/1994;46.18510056;;
01/03/1994;104.7105865;;
01/04/1994;74.11193085;;
01/05/1994;59.12601089;;
01/06/1994;81.18619537;;
01/07/1994;95.34850311;;
01/08/1994;68.05472565;;
01/09/1994;46.68276978;;
01/10/1994;73.98386383;;
01/11/1994;114.6206665;;
01/12/1994;113.4272842;;
01/01/1995;107.0569763;;
01/02/1995;133.1592255;;
01/03/1995;98.76192474;;
01/04/1995;78.15823364;;
01/05/1995;57.6782341;;
01/06/1995;79.8762207;;
01/07/1995;58.48723984;;
01/08/1995;81.35251617;;
01/09/1995;86.26076508;;
01/10/1995;75.79679871;;
01/11/1995;74.94922638;;
01/12/1995;58.76146698;;
01/01/1996;76.96334839;;
01/02/1996;123.0071793;;
01/03/1996;136.3991241;;
01/04/1996;69.27928925;;
01/05/1996;127.6984177;;
01/06/1996;104.271904;;
01/07/1996;100.2553177;;
01/08/1996;53.11515808;;
01/09/1996;81.13969421;;
01/10/1996;80.00975037;;
01/11/1996;100.1725006;;
01/12/1996;80.47577667;;
01/01/1997;86.68222046;147.8701477;59.41170502
01/02/1997;56.29587555;193.4988708;57.93270493
01/03/1997;47.05063629;164.8762512;95.83730316
01/04/1997;101.5680618;142.6888123;95.51236725
01/05/1997;76.70815277;138.6943512;55.2233963
01/06/1997;100.6619797;155.140213;63.46031952
01/07/1997;69.24737549;75.07657623;54.95415115
01/08/1997;118.1935577;106.5814056;32.10917664
01/09/1997;64.00720215;107.7008057;74.38127899
01/10/1997;72.8292923;114.7560577;89.02506256
01/11/1997;68.68808746;80.10123444;68.78263855
01/12/1997;88.88282013;92.2522049;50.97835922
01/01/1998;49.25667953;78.99841309;70.36618042
01/02/1998;32.46657181;84.05859375;69.35782623
01/03/1998;79.80081177;125.5382004;87.09316254
01/04/1998;42.08200455;105.6075821;57.05706787
01/05/1998;103.6131668;82.74916077;82.9233017
01/06/1998;73.61322784;65.63902283;75.54866791
01/07/1998;103.7340088;83.75286865;102.5267639
01/08/1998;87.88340759;142.4458466;56.53371811
01/09/1998;155.4571991;243.8862305;120.3037186
01/10/1998;77.70742798;109.7539368;134.3556671
01/11/1998;127.0600586;112.45784;125.8945999
01/12/1998;127.4077301;104.4127502;56.46775055
01/01/1999;111.2602844;106.9392471;71.1109848
01/02/1999;104.8559875;72.18669891;64.79442596
01/03/1999;65.63091278;107.4972839;65.5021286
01/04/1999;95.32920837;64.25144958;59.44794846
01/05/1999;87.84143829;76.10186768;60.37749481
01/06/1999;131.9817352;101.819664;49.61610794
01/07/1999;102.2240906;122.3840637;48.86079407
01/08/1999;118.1787262;53.95140457;43.78325272
01/09/1999;106.5434875;60.67523956;55.6263504
01/10/1999;104.1379013;79.26862335;60.05670547
01/11/1999;139.8860626;84.96528625;43.94887543
01/12/1999;52.0892868;84.88604736;25.34095192
01/01/2000;73.23399353;50.6167984;30.08247185
01/02/2000;97.35842133;78.89508057;36.62590027
01/03/2000;96.09150696;83.25487518;45.16381454
01/04/2000;69.44795227;97.98117065;42.74243546
01/05/2000;135.2871399;61.06956482;53.87834167
01/06/2000;58.29011536;71.40203094;51.15050125
01/07/2000;75.23576355;60.31278992;30.86351204
01/08/2000;76.06292725;74.9642334;29.02702332
01/09/2000;68.36932373;85.74362183;57.47051239
01/10/2000;84.14409637;80.52892303;47.63079453
01/11/2000;91.13114166;134.0547028;84.58302307
01/12/2000;91.88847351;129.7967682;64.91440582
01/01/2001;109.3314209;76.65537262;60.04069519
01/02/2001;134.3681946;88.95004272;61.49485779
